Date,Total_Likes,Total_Follows
4/15/19,83096,83584
4/16/19,83106,83595
4/17/19,83121,83612
4/18/19,83152,83651
4/19/19,83187,83690
4/20/19,83215,83721
4/21/19,83223,83735
4/22/19,83244,83761
4/23/19,83257,83777
4/24/19,83270,83794
4/25/19,83284,83810
4/26/19,83297,83826
4/27/19,83309,83840
4/28/19,83315,83846
4/29/19,83340,83873
4/30/19,83357,83893
5/1/19,83369,83907
5/2/19,83389,83931
5/3/19,83412,83956
5/4/19,83427,83972
5/5/19,83444,83990
5/6/19,83457,84004
5/7/19,83473,84022
5/8/19,83494,84046
5/9/19,83511,84065
5/10/19,83528,84086
5/11/19,83538,84098
5/12/19,83554,84116
5/13/19,83589,84158
5/14/19,83663,84242
5/15/19,83706,84292
5/16/19,83730,84326
5/17/19,83768,84373
5/18/19,83798,84407
5/19/19,83814,84429
5/20/19,83839,84455
5/21/19,83858,84481
5/22/19,83879,84504
5/23/19,83901,84530
5/24/19,83921,84557
5/25/19,83939,84578
5/26/19,83970,84610
5/27/19,83981,84628
5/28/19,84003,84654
5/29/19,84020,84672
5/30/19,84039,84697
5/31/19,84070,84732
6/1/19,84090,84753
6/2/19,84109,84776
6/3/19,84122,84792
6/4/19,84151,84824
6/5/19,84168,84845
6/6/19,84201,84882
6/7/19,84224,84911
6/8/19,84245,84934
6/9/19,84257,84948
6/10/19,84274,84967
6/11/19,84326,85022
6/12/19,84358,85063
6/13/19,84395,85105
6/14/19,84415,85127
6/15/19,84432,85145
6/16/19,84442,85157
6/17/19,84472,85190
6/18/19,84486,85206
6/19/19,84497,85219
6/20/19,84514,85235
6/21/19,84575,85301
6/22/19,84582,85309
6/23/19,84620,85349
6/24/19,84705,85437
6/25/19,84733,85467
6/26/19,84738,85471
6/27/19,84799,85536
6/28/19,84817,85555
6/29/19,84821,85559
6/30/19,84821,85559
7/1/19,84918,85664
7/2/19,84938,85687
7/3/19,85044,85797
7/4/19,85067,85821
7/5/19,85075,85829
7/6/19,85105,85864
